text,final_label
Get CoVID Vaccines to Nepal ASAP and prevent a humanitarian disaster,True
Compensate Essential Workers,False
Amend Recent COVID-19 Restrictions for Personal Care Services in London-Middlesex from,False
Petition against COVID-19 & Quarantine Bill: Say NO! to abuse of power and human rights.,False
KCL Has Coronavirus Case: Petition to Have Online Classes by March 9th,False
School safety.,False
NCAA Covid-19 Eligibility Relief,False
RI State schools to STOP charging campus fees when classes are online.,False
Let these military pets come home!,False
Texas State: Cancel all online class fees.,False
Vermeiden von Pandemien - Schließung chinesischer Tiermärkte,False
Help SJSU Students Cancel Their Lease at The Grad in the Middle of COVID-19 Outbreak!,False
Suspend mortgage and rent payments during Covid-19 crisis in New Jersey,False
COVID-19 Response to Support Families with Disabled Children,False
Save Roma St Parklands,False
Guarantee UEA Final Year Students A Graduation Ceremony,False
Uber’s “ Clean Air Fee” to be paid to Uber Drivers as Emergency Situation ( COVID-19 ),False
End Brookings City Council COVID Policies,False
Make Google Education Services available for Iran,False
Queens Park Allotment Covid-19,False
Close UO Eugene Campus due to COVID-19 Death in Washington and New Cases,False
Life-saving measures to protect Louisiana Prisoners from COVID-19,False
Require Face Masks in Idaho Shared Public Spaces,False
Give Stanford Graduate Students Housing Flexibility w/COVID-19 Concerns,False
Allow International Students to stay in the U​.​S. even with institutions going online,False
Close schools over coronovirus,False
Tax relief for key worker during Covid-19 crisis,False
Grant all illegal migrants leave to remain in Ireland.,False
Allow Dorset Council powers to limit tourists and protect our local NHS from a second wave,False
Bring back the six sports impacted by the St. Edward's University Athletics budget cuts,False
Break due to the Pandemic,False
Don’t forget Ltd company business owners during COVID-19,False
Provisional licenses for eligible  teens in MA who are affected by COVID-19 shut down.,False
EUA Approval From FDA For Rapid COVID-19 Tests,False
STOP oil drilling in The Bahamas,False
Delay reopening of Arkansas Public Schools because of COVID-19. Protect our children!,False
LockdownPakistan- economic losses now or disastrous economic and human losses later?,False
Protect pregnant healthcare workers in the UK from COVID-19,False
Save Altitude Trampoline Park in Spokane Valley,False
Hazard Pay for Security Officers as Fontliners during COVID-19 Pandemic,False
Heritage Golf & Country Club - don’t kill beloved local kangas!,False
Covid-19 shouldn't stop academic Justice,False
Tell Jim Justice to lock down West Virginia,False
GDC & CoreCivic Prisons Covid Release Must Happen Immediately: Save Our Loved Ones!!!,False
Bring back some flight services to Queenstown,False
