text,final_label
Postpone CBSE Board Exams,False
Pay rise for paramedics and nurses,False
Too Soon To Open Georgia!,True
Request to reconsider DPS Ruby Park school tuition and transport fees for COVID-19,False
Covid-19 Aesthetics / Salon / Massage Industry Warning & Economic Impact,False
Pause classes and encourage online classes to reduce the spread of Covid-19 in AMCKK,True
Allow Salons to Operate with New Health Guidelines,True
Open Letter to the AAMC Concerning the Medical School Application Cycle During COVID-19,False
Canadian Nurses Deserve Hazard Pay For Pandemics,False
Maharashtra demands Resignation from Uddhav Thackeray,False
BC Health | Mandatory Mask Usage Across BC Shared Public Spaces,False
Close Seattle Central College Campus Due to COVID-19 Death in Washington and New Cases,True
Rescue Australians Stranded in Peru due to Coronavirus,False
Improve COVID-19 Procedures In Correctional Facilities,False
Shut down Rosebank College,True
Stop Wildlife Medicine in China,False
Close Pace University NYC campus due to spread of COVID-19,True
Wearing face masks in public should be made mandatory by government to prevent COVID-19,False
Open Canada VACs in India,False
Reduction on Vehicle Insurance rate during COVID 19,False
Safeguard the Right of New Jersey Laboring Women to Have Support During COVID-19 Crisis,False
Petition for a Gradeless Semester,False
Davis Student Lease Cancellation and Rent Relief,False
Save the Hazlitt,False
Postpone CA exams for COVID Safety Reasons #CAExams,False
Humanitarian Appeal to Release Maulana Delawar Hossain Sayedee,False
Remove the CalTPA as a requirement for teachers in current educational programs,False
Extend the validity of PLABs and the English language test by the GMC,False
Release Safoora Zargar,False
Postpone 10th and 12th boards exam due to rise in Covid19 cases.,True
Fair rights for students during covid,False
Unmask Iowa's School Children,False
To allow Malaysians with valid work pass to travel in and out of singapore,False
Keep Omaha Public Schools Online Until COVID-19 Controlled,True
Joe Biden Must Step Down,False
"Central University of Lucknow is conducting exams from 16th , risking the health of studen",False
Financial Support for International Students in Australia facing hardships due to Covid-19,False
Freeze rent payments,False
"Animals are in pain, name groomers as an essential service in Ontario during COVID-19",False
2020-2021 Basketball Season,False
Save Schmidt,False
All frontline NHS staff to receive testing for COVID 19 if symptomatic.,False
"Hazard Pay for ""Essential"" workers",False
#FreeDarik,False
Start international flights in India,True
Please make masks mandatory in Georgia,False
Suspend Central Vista Project and Spend the Rs 200 Billion to Fight Covid-19,False
#LoveIsNotTourism: Petition for Binational Unmarried Couples to Reunite During Covid (US),False
Protect our children!!! Demand Covid release,False
Fight covid 19 san quentin,False
"Save the Coral City Camera, Don't Allow Disney Cruises to Destroy Our Urban Reef",False
Longer exercise hours - level 4 covid restrictions,False
Release Non-Violent Offenders in Prison Camps due to COVID-19,False
THE FATE OF AMAZONIA AND ITS GUARDIANS IS LINKED TO OURS - EUROPE MUST ACT IMMEDIATELY,False
Allow Reboot to open in San Francisco with COVID-19 safety precautions.,True
Petition to register Mesut Ozil in Arsenal's Premier League and Europa League squads,False
Arizona Stay At Home Orders : COVID-19,False
Petition: to award general promotion to students in colleges associated with BU Bhopal.,False
"Compassionate medical release for Previn Coleman, amid COVID 19 crisis in Elkton FCI Ohio",False
Guru Gobind Singh Indraprastha University FINAL YEAR EXAMS TO BE CONDUCTED ONLINE.,True
Let Wisconsin Golf,False
SAVE DEL MAR HORSEPARK,False
Stop MANDATORY  Covid Testing for Suffolk County Athletes,False
Shut down construction sites to prevent the spread of covid 19,True
Have the RIIL to allow Mount Saint Charles and Hendricken to play the championship games,False
"Transparency, Testing, and Online Instruction to Prevent a COVID-19 Outbreak at Mizzou",False
Lower SDSU Cost of Basic Tuition and Fees Due to COVID-19 and Transition to Online Classes,False
Protect Skateboard Retailers and Skateboarding As Essential Transportation During CoViD-19,False
Extend JobKeeper for Travel  Agency Agents and Mobile Travel Agents (Sole Traders).,False
The Heritage Private School: reduce payments for educational services during COVID-19,False
Keep Schools Closed Through COVID-19,True
Give Dolly Parton the Medal of Freedom,False
OUR LOVED ONES ARE DYING! Stop shielding nursing homes from liability!,False
Stop Greyhound Bus Lines from NYC,False
#FREE Donte Epps,False
COVID-19 IN Georgia's Prisons Rise,False
PROTECT OHIO’S FARMWORKERS FROM COVID-19,False
NO to the COVID-19 Public Health Response Bill,False
Pressure ICBC to Waive/Defer Monthly Insurance Premiums,False
Meralco: Bill Shock during the Covid Crisis,False
Stop Livermore Airport Expansion that includes new FBO & B737s. Reduce small plane noise.,False
Allow international students to remain in the U​.​S. to complete or continue their studies.,False
Minnesota Allow for the Operation of Guided Fishing and Charter Boat Captains,False
"Call for the resignation of Greg Glassman as CEO of CrossFit, Inc. #CancelGlassman",False
#SuspendOnlineClassesNOW,False
Lasershows statt Feuerwerke! #böllerfrei,False
Protect the UNT community from COVID-19 by suspending face-to-face classes and meetings.,True
Ban Gas-Powered  Leaf Blowers During COVID-19 Stay-At-Home Advisory in Massachusetts,True
"British people STILL showing support for Boris, despite the biased left media",False
"Separate Quarantine Wards, Med Check-ups for Women & Children in Jail",False
Keep Dr. Annie Bukacek on the Flathead City-County Health Board,False
"Stop Supporting Animal Cruelty, Tropical Smoothie Cafe!",False
Covid-19 Airbnb Hosts Economic Hardship,False
COVID-19,False
COVID-19 Impact: Need waiver for Small & Medium Business owners.,False
"Allocation of 20M to each Mp should instead go support health centers, doctors and nurses.",False
Abortion must be accessible for women across the EU,False
Conduct Final Examination for students in Online Mode to prevent risk of Covid Infection,True
"Request to set up a Covid 19 testing laboratory at GTA region, West Bengal.",False
Tamil Nadu needs to close colleges due to COVID- 19  Do You agree?,True
"LET'S GET HOUSE BILL 1532 PASSED, REDUCE JAIL & PRISON POPULATIONS FROM SPREADING COVID-19",False
Postpone/Cancel CAIE's in Pakistan May/June 2020 due to Coronavirus outbreak.,True
Release Currie Hall Residents from Leases Amid COVID-19 Pandemic,False
Allow Parents in Botswana  to Purchase Baby & Children's Essentials for the Winter,False
Save covid-19 old infected patients across the world,False
Change to Durham University Assesment in light of COVID-19 Pandemic.,False
Hospital visits to be permitted to critical patients who need their loved ones around them,False
Extend education loan grace period to support the graduates struggling to find jobs #COVID,False
COVID-19 Isn't Over and We Need Help: Tell the Senate to Pass the HEROES Act Immediately,False
Uso de mascarillas obligatorio en España para COVID-19,False
Hobart City Council should allow health workers to park for free during COVID-19 crisis.,False
Less Schoolwork during COVID-19 Quarantine,True
Requesting Free State Gov to provide list of companies who received Covid-19 Relief Fund,False
Allow Cruise Ships to come to Alaska,True
Doula Support in Nebraska Hospitals during COVID-19 Outbreaks,False
Cancellation of semester exam 2019-2020 and using our exam fees to Relief fund.,False
Announce holidays for teachers and non teaching staff to combat corona threat,False
Save Lives! Include ALL Diabetics in the COVID vaccine rollout in California,False
"#saveliveslivebetter-Walmart Canada, please help keep your associates and customers safer!",False
Summer 2020 Graduations to be POSTPONED not CANCELLED,False
Eviction Moratorium South Africa,False
Students concern related to fees submission amid this covid.,False
Cancel school for at least two weeks to slow down the spread of COVID-19,True
Protect Inmates And Correctional Facility Staff Against Covid,False
A green recovery from COVID-19 in Northern Ireland,False
Expansion of covid related subsidies to new businesses,False
Demand Science-Based School Reopening Criteria in AZ!,True
Stop all air travel to Ireland from covid hotspots in the US,True
新型コロナウイルス感染拡大に伴う差別行為＝「コロナ差別」に際して日本政府に対策を求めます ー #差別を許さない,False
